PID    | SYSCALL_NAME   | RETURN_VALUE | ELAPSED_TIME (s)
17037  | mprotect         | 302          | 0.006360
17037  | unknown          | 11           | 0.006457
17037  | munmap           | 137          | 0.006574
17037  | unknown          | 137          | 0.006669
17037  | unknown          | 318          | 0.006761
17037  | getrandom        | 12           | 0.006854
17037  | brk              | 12           | 0.006929
17037  | brk              | 257          | 0.007018
17037  | openat           | 5            | 0.007116
17037  | fstat            | 0            | 0.007194
17037  | read             | 0            | 0.007288
17037  | read             | 3            | 0.007363
17037  | close            | 21           | 0.007442
17037  | access           | 257          | 0.007553
17037  | openat           | 5            | 0.007635
17037  | fstat            | 9            | 0.007708
17037  | mmap             | 3            | 0.007817
17037  | close            | 16           | 0.007946
17037  | ioctl            | 16           | 0.008022
17037  | ioctl            | 257          | 0.008114
17037  | openat           | 5            | 0.008190
17037  | fstat            | 217          | 0.008266
17037  | unknown          | 217          | 0.008378
17037  | unknown          | 3            | 0.008451
17037  | close            | 5            | 0.008567
17037  | fstat            | 1            | 0.008648
17037  | write            | 1            | 0.008760
17037  | write            | 1            | 0.008863
17037  | write            | 3            | 0.008961
17037  | close            | 3            | 0.009036
17037  | close            | 231          | 0.009174
11992  | unknown          | 0            | 4.239529
11992  | rt_sigprocmask   | 0            | 4.239801
11992  | ioctl            | 0            | 4.240039
11992  | rt_sigprocmask   | 0            | 4.240201
11992  | ioctl            | 0            | 4.240475
11992  | ioctl            | 0            | 4.240600
11992  | rt_sigprocmask   | 0            | 4.240759
11992  | rt_sigprocmask   | 0            | 4.240988
11992  | rt_sigaction     | 0            | 4.241307
11992  | rt_sigprocmask   | 0            | 4.241467
11992  | ioctl            | 0            | 4.241642
11992  | rt_sigprocmask   | 0            | 4.241768
11992  | rt_sigaction     | 0            | 4.241933
11992  | unknown          | 0            | 4.242334
11992  | ioctl            | 0            | 4.242523
11992  | ioctl            | 0            | 4.242659
11992  | ioctl            | 0            | 4.242792
11992  | ioctl            | 0            | 4.242922
11992  | ioctl            | 0            | 4.243058
11992  | ioctl            | 0            | 4.243204
11992  | write            | 0            | 4.243376
11992  | rt_sigprocmask   | 0            | 4.243552
11992  | rt_sigaction     | 0            | 4.243699
11992  | rt_sigaction     | 0            | 4.244004
11992  | rt_sigaction     | 0            | 4.244124
11992  | rt_sigaction     | 0            | 4.244249
11992  | rt_sigaction     | 0            | 4.244377
11992  | rt_sigaction     | 0            | 4.244492
11992  | rt_sigaction     | 0            | 4.244602
11992  | rt_sigaction     | 0            | 4.244717
11992  | rt_sigaction     | 0            | 4.244826
11992  | rt_sigaction     | 0            | 4.244963
11992  | rt_sigaction     | 0            | 4.245168
11992  | rt_sigaction     | 0            | 4.245277
11992  | rt_sigaction     | 0            | 4.245399
11992  | rt_sigprocmask   | 0            | 4.245514
11992  | rt_sigaction     | 0            | 4.245636
11992  | write            | 0            | 4.245804
17089  | unknown          | 0            | 2.672358
17089  | execve           | 0            | 2.672930
17089  | execve           | 0            | 2.673476
17089  | execve           | 0            | 2.673984
17089  | execve           | 0            | 2.674288
17089  | execve           | 0            | 2.675541
17089  | execve           | 0            | 2.675921
17089  | brk              | 0            | 2.676232
17089  | mmap             | 0            | 2.676723
17089  | access           | 0            | 2.677054
17089  | openat           | 0            | 2.677466
17089  | fstat            | 0            | 2.677656
17089  | mmap             | 0            | 2.677889
17089  | close            | 0            | 2.678213
17089  | openat           | 0            | 2.678433
17089  | read             | 0            | 2.678613
17089  | fstat            | 0            | 2.678838
17089  | mmap             | 0            | 2.679133
17089  | mmap             | 0            | 2.679372
17089  | mmap             | 0            | 2.679641
17089  | mmap             | 0            | 2.679975
17089  | mmap             | 0            | 2.680296
17089  | close            | 0            | 2.680546
17089  | openat           | 0            | 2.680753
17089  | read             | 0            | 2.680933
17089  | unknown          | 0            | 2.681178
17089  | unknown          | 0            | 2.681605
17089  | mmap             | 0            | 2.681955
17089  | mmap             | 0            | 2.682294
17089  | mmap             | 0            | 2.682635
17089  | mmap             | 0            | 2.682904
17089  | mmap             | 0            | 2.683161
17089  | close            | 0            | 2.683424
17089  | openat           | 0            | 2.683662
17089  | read             | 0            | 2.683961
17089  | fstat            | 0            | 2.684241
17089  | mmap             | 0            | 2.684503
17089  | mmap             | 0            | 2.684745
17089  | mmap             | 0            | 2.685088
17089  | mmap             | 0            | 2.685363
17089  | close            | 0            | 2.685706
17089  | mmap             | 0            | 2.686182
17089  | unknown          | 0            | 2.686491
17089  | set_tid_address  | 0            | 2.686768
17089  | unknown          | 0            | 2.687123
17089  | unknown          | 0            | 2.687432
17089  | mprotect         | 0            | 2.687899
17089  | mprotect         | 0            | 2.688138
17089  | mprotect         | 0            | 2.688515
17089  | mprotect         | 0            | 2.689120
17089  | mprotect         | 0            | 2.689813
17089  | unknown          | 0            | 2.690408
17089  | munmap           | 0            | 2.690824
17089  | unknown          | 0            | 2.691378
17089  | unknown          | 0            | 2.691585
17089  | getrandom        | 0            | 2.691808
17089  | brk              | 0            | 2.692015
17089  | brk              | 0            | 2.692244
17089  | openat           | 0            | 2.692581
17089  | fstat            | 0            | 2.692907
17089  | read             | 0            | 2.693482
17089  | read             | 0            | 2.693797
17089  | close            | 0            | 2.694101
17089  | access           | 0            | 2.694405
17089  | openat           | 0            | 2.694791
17089  | fstat            | 0            | 2.695121
17089  | mmap             | 0            | 2.695467
17089  | close            | 0            | 2.695898
17089  | ioctl            | 0            | 2.696285
17089  | ioctl            | 0            | 2.696518
17089  | openat           | 0            | 2.696798
17089  | fstat            | 0            | 2.697046
17089  | unknown          | 0            | 2.697315
17089  | unknown          | 0            | 2.697561
17089  | close            | 0            | 2.697758
17089  | fstat            | 0            | 2.698003
17089  | write            | 0            | 2.698225
17089  | write            | 0            | 2.698395
17089  | write            | 0            | 2.698570
17089  | close            | 0            | 2.698809
17089  | close            | 0            | 2.699012
17132  | execve           | 12           | 0.000928
17132  | brk              | 9            | 0.001182
17132  | mmap             | 21           | 0.001347
17132  | access           | 257          | 0.001526
17132  | openat           | 5            | 0.001681
17132  | fstat            | 9            | 0.001825
17132  | mmap             | 3            | 0.001929
17132  | close            | 257          | 0.002054
17132  | openat           | 0            | 0.002199
17132  | read             | 5            | 0.002309
17132  | fstat            | 9            | 0.002401
17132  | mmap             | 9            | 0.002519
17132  | mmap             | 9            | 0.002629
17132  | mmap             | 9            | 0.002745
17132  | mmap             | 9            | 0.002885
17132  | mmap             | 3            | 0.003006
17132  | close            | 257          | 0.003093
17132  | openat           | 0            | 0.003209
17132  | read             | 17           | 0.003308
17132  | unknown          | 5            | 0.003390
17132  | fstat            | 17           | 0.003474
17132  | unknown          | 9            | 0.003554
17132  | mmap             | 9            | 0.003640
17132  | mmap             | 9            | 0.003733
17132  | mmap             | 9            | 0.003822
17132  | mmap             | 9            | 0.003923
17132  | mmap             | 3            | 0.004031
17132  | close            | 257          | 0.004128
17132  | openat           | 0            | 0.004226
17132  | read             | 5            | 0.004393
17132  | fstat            | 9            | 0.004472
17132  | mmap             | 9            | 0.004569
17132  | mmap             | 9            | 0.004667
17132  | mmap             | 9            | 0.004753
17132  | mmap             | 3            | 0.004862
17132  | close            | 9            | 0.004945
17132  | mmap             | 158          | 0.005039
17132  | unknown          | 218          | 0.005152
17132  | set_tid_address  | 273          | 0.005236
17132  | unknown          | 334          | 0.005307
17132  | unknown          | 10           | 0.005460
17132  | mprotect         | 10           | 0.005543
17132  | mprotect         | 10           | 0.005681
17132  | mprotect         | 10           | 0.005797
17132  | mprotect         | 10           | 0.005879
17132  | mprotect         | 302          | 0.005985
17132  | unknown          | 11           | 0.006070
17132  | munmap           | 137          | 0.006203
17132  | unknown          | 137          | 0.006285
17132  | unknown          | 318          | 0.006368
17132  | getrandom        | 12           | 0.006444
17132  | brk              | 12           | 0.006516
17132  | brk              | 257          | 0.006607
17132  | openat           | 5            | 0.006693
17132  | fstat            | 0            | 0.006770
17132  | read             | 0            | 0.006861
17132  | read             | 3            | 0.006933
17132  | close            | 21           | 0.007010
17132  | access           | 257          | 0.007133
17132  | openat           | 5            | 0.007209
17132  | fstat            | 9            | 0.007290
17132  | mmap             | 3            | 0.007386
17132  | close            | 16           | 0.007520
17132  | ioctl            | 16           | 0.007592
17132  | ioctl            | 257          | 0.007688
17132  | openat           | 5            | 0.007798
17132  | fstat            | 217          | 0.007907
17132  | unknown          | 217          | 0.008055
17132  | unknown          | 3            | 0.008135
17132  | close            | 5            | 0.008301
17132  | fstat            | 1            | 0.008397
17132  | write            | 1            | 0.008509
17132  | write            | 1            | 0.008646
17132  | write            | 3            | 0.008838
17132  | close            | 3            | 0.008924
17132  | close            | 231          | 0.009039
17147  | execve           | 12           | 0.001013
17147  | brk              | 9            | 0.001290
17147  | mmap             | 21           | 0.001450
17147  | access           | 257          | 0.001609
17147  | openat           | 5            | 0.001736
17147  | fstat            | 9            | 0.001853
17147  | mmap             | 3            | 0.001972
17147  | close            | 257          | 0.002138
17147  | openat           | 0            | 0.002249
17147  | read             | 5            | 0.002368
17147  | fstat            | 9            | 0.002476
17147  | mmap             | 9            | 0.002587
17147  | mmap             | 9            | 0.002747
17147  | mmap             | 9            | 0.002846
17147  | mmap             | 9            | 0.002979
17147  | mmap             | 3            | 0.003098
17147  | close            | 257          | 0.003198
17147  | openat           | 0            | 0.003309
17147  | read             | 17           | 0.003411
17147  | unknown          | 5            | 0.003540
17147  | fstat            | 17           | 0.003693
17147  | unknown          | 9            | 0.003835
17147  | mmap             | 9            | 0.003986
17147  | mmap             | 9            | 0.004178
17147  | mmap             | 9            | 0.004273
17147  | mmap             | 9            | 0.004380
17147  | mmap             | 3            | 0.004489
17147  | close            | 257          | 0.004615
17147  | openat           | 0            | 0.004699
17147  | read             | 5            | 0.004790
17147  | fstat            | 9            | 0.004877
17147  | mmap             | 9            | 0.005006
17147  | mmap             | 9            | 0.005109
17147  | mmap             | 9            | 0.005209
17147  | mmap             | 3            | 0.005324
17147  | close            | 9            | 0.005420
17147  | mmap             | 158          | 0.005516
17147  | unknown          | 218          | 0.005593
17147  | set_tid_address  | 273          | 0.005670
17147  | unknown          | 334          | 0.005752
17147  | unknown          | 10           | 0.005915
17147  | mprotect         | 10           | 0.006005
17147  | mprotect         | 10           | 0.006154
17147  | mprotect         | 10           | 0.006281
17147  | mprotect         | 10           | 0.006371
17147  | mprotect         | 302          | 0.006479
17147  | unknown          | 11           | 0.006567
17147  | munmap           | 137          | 0.006697
17147  | unknown          | 137          | 0.006784
17147  | unknown          | 318          | 0.006873
17147  | getrandom        | 12           | 0.006951
17147  | brk              | 12           | 0.007031
17147  | brk              | 257          | 0.007136
17147  | openat           | 5            | 0.007231
17147  | fstat            | 0            | 0.007307
17147  | read             | 0            | 0.007398
17147  | read             | 3            | 0.007477
17147  | close            | 21           | 0.007560
17147  | access           | 257          | 0.007666
17147  | openat           | 5            | 0.007756
17147  | fstat            | 9            | 0.007840
17147  | mmap             | 3            | 0.007930
